pos,corr_resp,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,polygon.started,line1.started,line2.started,line3.started,line4.started,polygon.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,0,0,0,0,,,,,24,3,99,3,711.4530904999701,712.4533601999865,712.4533601999865,712.4533601999865,712.4533601999865,712.4533601999865,713.4529885000084,713.4529885000084,z,1,0.3592099000234157,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,25,0,100,3,713.8356577999657,714.8191361000063,714.8191361000063,714.8191361000063,714.8191361000063,714.8363145000185,715.8189933999674,715.8189933999674,z,1,0.4176382999867201,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,25,1,101,1,716.2523294999846,717.2527694000164,717.2527694000164,717.2527694000164,717.2527694000164,717.2527694000164,718.2527921000146,718.2527921000146,v,1,0.5001388000091538,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,25,2,102,3,718.7861106999917,719.7858045999892,719.7858045999892,719.7858045999892,719.7858045999892,719.7858045999892,720.7858074000105,720.7858074000105,z,1,0.302942999987863,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,25,3,103,1,721.1187393,722.119795400009,722.119795400009,722.119795400009,722.119795400009,722.119795400009,723.1187691999949,723.1187691999949,v,1,0.31589870003517717,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,26,0,104,3,723.45214020001,724.4518651000108,724.4518651000108,724.4518651000108,724.4518651000108,724.4518651000108,725.4518606999773,725.4518606999773,z,1,0.2915332000120543,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,26,1,105,3,725.7689361000084,726.7681448999792,726.7681448999792,726.7681448999792,726.7681448999792,726.7681448999792,727.7685133999912,727.7685133999912,z,1,0.3694952999940142,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,26,2,106,1,728.168040300021,729.1683898000047,729.1683898000047,729.1683898000047,729.1683898000047,729.1683898000047,730.1512107999879,730.1512107999879,v,1,0.30470430001150817,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,26,3,107,3,730.4846195999999,731.4847585000098,731.4847585000098,731.4847585000098,731.4847585000098,731.4847585000098,732.4840019000112,732.4840019000112,z,1,0.43040309997741133,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,27,0,108,1,732.9343556999811,733.9344741000095,733.9344741000095,733.9344741000095,733.9344741000095,733.9344741000095,734.9343340999912,734.9343340999912,v,1,0.3961338000372052,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,27,1,109,3,735.3503756999853,736.351323299983,736.351323299983,736.351323299983,736.351323299983,736.351323299983,737.3505299999961,737.3505299999961,z,1,0.40959930000826716,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,27,2,110,3,737.7841685999883,738.7669952000142,738.7669952000142,738.7669952000142,738.7669952000142,738.7842408000142,739.7680386999855,739.7680386999855,z,1,0.39420959999551997,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,27,3,111,2,740.1838161000051,741.183753499994,741.183753499994,741.183753499994,741.183753499994,741.183753499994,742.1838453999953,742.1838453999953,c,1,0.4015987000311725,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
150,v,0,0,0,0,,,,,28,0,112,1,742.6167997000157,743.6165869999677,743.6165869999677,743.6165869999677,743.6165869999677,743.6165869999677,744.6164571999689,744.6164571999689,v,1,0.36094969999976456,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-50,x,0,0,0,0,,,,,28,1,113,0,744.9992200999986,745.9998932000017,745.9998932000017,745.9998932000017,745.9998932000017,745.9998932000017,746.9998150999891,746.9998150999891,x,1,0.36851780000142753,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
50,c,0,0,0,0,,,,,28,2,114,2,747.3998266999843,748.3994933000067,748.3994933000067,748.3994933000067,748.3994933000067,748.3994933000067,749.3994713000138,749.3994713000138,x,0,0.3577070000465028,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
-150,z,0,0,0,0,,,,,28,3,115,3,749.7826276000123,750.7831836999976,750.7831836999976,750.7831836999976,750.7831836999976,750.7831836999976,751.7829349999665,751.7829349999665,z,1,0.4179903999902308,None,archi,001,2023-10-11_00h24.30.755,orient_discri,2023.1.3,60.359355461578595,
